gene	individual	counts	tissue	sex	path
_scaffold_1_001449.1	indv_1	528	leaves	male	rddm
_scaffold_1_002736.1	indv_1	96	leaves	male	rddm
_scaffold_1_002735.1	indv_1	1736	leaves	male	rddm
_scaffold_1_002734.1	indv_1	2640	leaves	male	rddm
_scaffold_1_001450.1	indv_1	600	leaves	male	rddm
_scaffold_1_002726.1	indv_1	192	leaves	male	rddm
_scaffold_1_001453.1	indv_1	576	leaves	male	rddm
_scaffold_1_001455.1	indv_1	96	leaves	male	rddm
_scaffold_1_001456.1	indv_1	144	leaves	male	rddm
_scaffold_1_001457.1	indv_1	24	leaves	male	rddm
_scaffold_1_002710.1	indv_1	696	leaves	male	rddm
_scaffold_1_001467.1	indv_1	120	leaves	male	rddm
_scaffold_1_002699.1	indv_1	576	leaves	male	rddm
_scaffold_1_002693.1	indv_1	2162	leaves	male	rddm
_scaffold_1_002688.1	indv_1	2568	leaves	male	rddm
_scaffold_1_002686.1	indv_1	2520	leaves	male	rddm
_scaffold_1_001479.1	indv_1	912	leaves	male	rddm
_scaffold_1_001481.1	indv_1	4440	leaves	male	rddm
_scaffold_1_002684.1	indv_1	96	leaves	male	rddm
_scaffold_1_002679.1	indv_1	2832	leaves	male	rddm
_scaffold_1_001489.1	indv_1	216	leaves	male	rddm
_scaffold_1_001491.1	indv_1	48	leaves	male	rddm
_scaffold_1_002678.1	indv_1	168	leaves	male	rddm
_scaffold_1_001500.1	indv_1	288	leaves	male	rddm
_scaffold_1_001501.1	indv_1	288	leaves	male	rddm
_scaffold_1_001506.1	indv_1	0	leaves	male	rddm
_scaffold_1_002670.1	indv_1	384	leaves	male	rddm
_scaffold_1_002669.1	indv_1	960	leaves	male	rddm
_scaffold_1_001511.1	indv_1	888	leaves	male	rddm
_scaffold_1_002665.1	indv_1	1752	leaves	male	rddm
_scaffold_1_001512.1	indv_1	408	leaves	male	rddm
_scaffold_1_001513.1	indv_1	240	leaves	male	rddm
_scaffold_1_001516.1	indv_1	2668	leaves	male	rddm
_scaffold_1_001517.1	indv_1	3726	leaves	male	rddm
_scaffold_1_002663.1	indv_1	72	leaves	male	rddm
_scaffold_1_001519.1	indv_1	6648	leaves	male	rddm
_scaffold_1_002660.1	indv_1	1296	leaves	male	rddm
_scaffold_1_002656.1	indv_1	1752	leaves	male	rddm
_scaffold_1_002655.1	indv_1	8328	leaves	male	rddm
_scaffold_1_001520.1	indv_1	6768	leaves	male	rddm
_scaffold_1_002654.1	indv_1	4320	leaves	male	rddm
_scaffold_1_001523.1	indv_1	528	leaves	male	rddm
_scaffold_1_001525.1	indv_1	192	leaves	male	rddm
_scaffold_1_002652.1	indv_1	1159	leaves	male	rddm
_scaffold_1_002651.1	indv_1	2040	leaves	male	rddm
_scaffold_1_001527.1	indv_1	456	leaves	male	rddm
_scaffold_1_001530.1	indv_1	840	leaves	male	rddm
_scaffold_1_001532.1	indv_1	2208	leaves	male	rddm
_scaffold_1_002650.1	indv_1	787	leaves	male	rddm
_scaffold_1_001534.1	indv_1	504	leaves	male	rddm
_scaffold_1_001535.1	indv_1	552	leaves	male	rddm
_scaffold_1_001537.1	indv_1	1896	leaves	male	rddm
_scaffold_1_001542.1	indv_1	264	leaves	male	rddm
_scaffold_1_001544.1	indv_1	504	leaves	male	rddm
_scaffold_1_001545.1	indv_1	8040	leaves	male	rddm
_scaffold_1_002648.1	indv_1	898	leaves	male	rddm
_scaffold_1_001547.1	indv_1	1056	leaves	male	rddm
_scaffold_1_002647.1	indv_1	408	leaves	male	rddm
_scaffold_1_001548.1	indv_1	1248	leaves	male	rddm
_scaffold_1_002642.1	indv_1	12432	leaves	male	rddm
_scaffold_1_002641.1	indv_1	1368	leaves	male	rddm
_scaffold_1_002639.1	indv_1	192	leaves	male	rddm
_scaffold_1_002638.1	indv_1	744	leaves	male	rddm
_scaffold_1_001549.1	indv_1	2131	leaves	male	rddm
_scaffold_1_001550.1	indv_1	0	leaves	male	rddm
_scaffold_1_002618.1	indv_1	0	leaves	male	rddm
_scaffold_1_001557.1	indv_1	312	leaves	male	rddm
_scaffold_1_001558.1	indv_1	360	leaves	male	rddm
_scaffold_1_001559.1	indv_1	1536	leaves	male	rddm
_scaffold_1_001561.1	indv_1	2885	leaves	male	rddm
_scaffold_1_001562.1	indv_1	48	leaves	male	rddm
_scaffold_1_002602.1	indv_1	2904	leaves	male	rddm
_scaffold_1_002600.1	indv_1	552	leaves	male	rddm
_scaffold_1_001564.1	indv_1	1344	leaves	male	rddm
_scaffold_1_001565.1	indv_1	360	leaves	male	rddm
_scaffold_1_002588.1	indv_1	648	leaves	male	rddm
_scaffold_1_002587.1	indv_1	713	leaves	male	rddm
_scaffold_1_001566.1	indv_1	984	leaves	male	rddm
_scaffold_1_001567.1	indv_1	672	leaves	male	rddm
_scaffold_1_001574.1	indv_1	6792	leaves	male	rddm
_scaffold_1_001580.1	indv_1	7776	leaves	male	rddm
_scaffold_1_002580.1	indv_1	768	leaves	male	rddm
_scaffold_1_002570.1	indv_1	480	leaves	male	rddm
_scaffold_1_002568.1	indv_1	168	leaves	male	rddm
_scaffold_1_002567.1	indv_1	1896	leaves	male	rddm
_scaffold_1_001592.1	indv_1	2736	leaves	male	rddm
_scaffold_1_001593.1	indv_1	2064	leaves	male	rddm
_scaffold_1_002557.1	indv_1	432	leaves	male	rddm
_scaffold_1_001594.1	indv_1	312	leaves	male	rddm
_scaffold_1_002553.1	indv_1	5808	leaves	male	rddm
_scaffold_1_002548.1	indv_1	3504	leaves	male	rddm
_scaffold_1_002546.1	indv_1	4032	leaves	male	rddm
_scaffold_1_001601.1	indv_1	3672	leaves	male	rddm
_scaffold_1_001603.1	indv_1	8976	leaves	male	rddm
_scaffold_1_001605.1	indv_1	692	leaves	male	rddm
_scaffold_1_002537.1	indv_1	264	leaves	male	rddm
_scaffold_1_002536.1	indv_1	1008	leaves	male	rddm
_scaffold_1_002535.1	indv_1	408	leaves	male	rddm
_scaffold_1_002534.1	indv_1	552	leaves	male	rddm
_scaffold_1_001611.1	indv_1	3888	leaves	male	rddm
_scaffold_1_001612.1	indv_1	816	leaves	male	rddm
_scaffold_1_001613.1	indv_1	48	leaves	male	rddm
_scaffold_1_002518.1	indv_1	264	leaves	male	rddm
_scaffold_1_002517.1	indv_1	528	leaves	male	rddm
_scaffold_1_001618.1	indv_1	1920	leaves	male	rddm
_scaffold_1_001620.1	indv_1	168	leaves	male	rddm
_scaffold_1_001621.1	indv_1	288	leaves	male	rddm
_scaffold_1_001622.1	indv_1	4584	leaves	male	rddm
_scaffold_1_002508.1	indv_1	216	leaves	male	rddm
_scaffold_1_002507.1	indv_1	1099	leaves	male	rddm
_scaffold_1_001623.1	indv_1	3024	leaves	male	rddm
_scaffold_1_002502.1	indv_1	432	leaves	male	rddm
_scaffold_1_001628.1	indv_1	168	leaves	male	rddm
_scaffold_1_002500.1	indv_1	2544	leaves	male	rddm
_scaffold_1_002494.1	indv_1	48	leaves	male	rddm
_scaffold_1_001640.1	indv_1	2448	leaves	male	rddm
_scaffold_1_002485.1	indv_1	456	leaves	male	rddm
_scaffold_1_002484.1	indv_1	864	leaves	male	rddm
_scaffold_1_001649.1	indv_1	4032	leaves	male	rddm
_scaffold_1_001652.1	indv_1	3360	leaves	male	rddm
_scaffold_1_002479.1	indv_1	600	leaves	male	rddm
_scaffold_1_001659.1	indv_1	72	leaves	male	rddm
_scaffold_1_002477.1	indv_1	192	leaves	male	rddm
_scaffold_1_002476.1	indv_1	4632	leaves	male	rddm
_scaffold_1_002473.1	indv_1	1896	leaves	male	rddm
_scaffold_1_002472.1	indv_1	2592	leaves	male	rddm
_scaffold_1_002468.1	indv_1	1488	leaves	male	rddm
_scaffold_1_001668.1	indv_1	2136	leaves	male	rddm
_scaffold_1_001669.1	indv_1	2016	leaves	male	rddm
_scaffold_1_001671.1	indv_1	120	leaves	male	rddm
_scaffold_1_002458.1	indv_1	336	leaves	male	rddm
_scaffold_1_001678.1	indv_1	5496	leaves	male	rddm
_scaffold_1_002451.1	indv_1	1752	leaves	male	rddm
_scaffold_1_002448.1	indv_1	7368	leaves	male	rddm
_scaffold_1_001680.1	indv_1	3528	leaves	male	rddm
_scaffold_1_001685.1	indv_1	3768	leaves	male	rddm
_scaffold_1_002443.1	indv_1	96	leaves	male	rddm
_scaffold_1_001690.1	indv_1	888	leaves	male	rddm
_scaffold_1_002439.1	indv_1	3862	leaves	male	rddm
_scaffold_1_001700.1	indv_1	5784	leaves	male	rddm
_scaffold_1_001702.1	indv_1	3552	leaves	male	rddm
_scaffold_1_001704.1	indv_1	216	leaves	male	rddm
_scaffold_1_001705.1	indv_1	3504	leaves	male	rddm
_scaffold_1_001706.1	indv_1	288	leaves	male	rddm
_scaffold_1_001707.1	indv_1	96	leaves	male	rddm
_scaffold_1_002431.1	indv_1	288	leaves	male	rddm
_scaffold_1_002429.1	indv_1	785	leaves	male	rddm
_scaffold_1_002428.1	indv_1	744	leaves	male	rddm
_scaffold_1_002420.1	indv_1	816	leaves	male	rddm
_scaffold_1_001710.1	indv_1	3168	leaves	male	rddm
_scaffold_1_002419.1	indv_1	456	leaves	male	rddm
_scaffold_1_002418.1	indv_1	576	leaves	male	rddm
_scaffold_1_002417.1	indv_1	384	leaves	male	rddm
_scaffold_1_002416.1	indv_1	17568	leaves	male	rddm
_scaffold_1_001712.1	indv_1	17112	leaves	male	rddm
_scaffold_1_001713.1	indv_1	17400	leaves	male	rddm
_scaffold_1_001714.1	indv_1	648	leaves	male	rddm
_scaffold_1_001715.1	indv_1	720	leaves	male	rddm
_scaffold_1_002415.1	indv_1	1008	leaves	male	rddm
_scaffold_1_002419.1_2	indv_1	480	leaves	male	rddm
_scaffold_1_001718.1	indv_1	9960	leaves	male	rddm
_scaffold_1_001720.1	indv_1	2304	leaves	male	rddm
_scaffold_1_002397.1	indv_1	72	leaves	male	rddm
_scaffold_1_002395.1	indv_1	2352	leaves	male	rddm
_scaffold_1_002390.1	indv_1	2808	leaves	male	rddm
_scaffold_1_002389.1	indv_1	96	leaves	male	rddm
_scaffold_1_001727.1	indv_1	504	leaves	male	rddm
_scaffold_1_001729.1	indv_1	24	leaves	male	rddm
_scaffold_1_002381.1	indv_1	2808	leaves	male	rddm
_scaffold_1_002380.1	indv_1	3072	leaves	male	rddm
_scaffold_1_001735.1	indv_1	2064	leaves	male	rddm
_scaffold_1_001742.1	indv_1	312	leaves	male	rddm
_scaffold_1_001744.1	indv_1	3168	leaves	male	rddm
_scaffold_1_001745.1	indv_1	1772	leaves	male	rddm
_scaffold_1_001747.1	indv_1	984	leaves	male	rddm
_scaffold_1_001748.1	indv_1	528	leaves	male	rddm
_scaffold_1_002364.1	indv_1	1704	leaves	male	rddm
_scaffold_1_002363.1	indv_1	96	leaves	male	rddm
_scaffold_1_001749.1	indv_1	1080	leaves	male	rddm
_scaffold_1_002361.1	indv_1	96	leaves	male	rddm
_scaffold_1_001751.1	indv_1	1416	leaves	male	rddm
_scaffold_1_001752.1	indv_1	1776	leaves	male	rddm
_scaffold_1_002359.1	indv_1	2208	leaves	male	rddm
_scaffold_1_002357.1	indv_1	1032	leaves	male	rddm
_scaffold_1_001764.1	indv_1	2625	leaves	male	rddm
_scaffold_1_002348.1	indv_1	3864	leaves	male	rddm
_scaffold_1_002347.1	indv_1	4968	leaves	male	rddm
_scaffold_1_001766.1	indv_1	672	leaves	male	rddm
_scaffold_1_002344.1	indv_1	3360	leaves	male	rddm
_scaffold_1_002341.1	indv_1	4824	leaves	male	rddm
_scaffold_1_001771.1	indv_1	720	leaves	male	rddm
_scaffold_1_001774.1	indv_1	2088	leaves	male	rddm
_scaffold_1_001775.1	indv_1	552	leaves	male	rddm
_scaffold_1_001777.1	indv_1	360	leaves	male	rddm
_scaffold_1_002338.1	indv_1	960	leaves	male	rddm
_scaffold_1_002337.1	indv_1	3120	leaves	male	rddm
_scaffold_1_001778.1	indv_1	2784	leaves	male	rddm
_scaffold_1_002336.1	indv_1	8064	leaves	male	rddm
_scaffold_1_001780.1	indv_1	4344	leaves	male	rddm
_scaffold_1_001781.1	indv_1	1632	leaves	male	rddm
_scaffold_1_001783.1	indv_1	2304	leaves	male	rddm
_scaffold_1_002334.1	indv_1	3168	leaves	male	rddm
_scaffold_1_002332.1	indv_1	144	leaves	male	rddm
_scaffold_1_001785.1	indv_1	3048	leaves	male	rddm
_scaffold_1_002331.1	indv_1	1104	leaves	male	rddm
_scaffold_1_001789.1	indv_1	5928	leaves	male	rddm
_scaffold_1_002330.1	indv_1	2832	leaves	male	rddm
_scaffold_1_002328.1	indv_1	648	leaves	male	rddm
_scaffold_1_001796.1	indv_1	120	leaves	male	rddm
_scaffold_1_002326.1	indv_1	336	leaves	male	rddm
_scaffold_1_002322.1	indv_1	408	leaves	male	rddm
_scaffold_1_001800.1	indv_1	4488	leaves	male	rddm
_scaffold_1_002321.1	indv_1	17976	leaves	male	rddm
_scaffold_1_002320.1	indv_1	26880	leaves	male	rddm
_scaffold_1_001801.1	indv_1	11232	leaves	male	rddm
_scaffold_1_002319.1	indv_1	7605	leaves	male	rddm
_scaffold_1_002318.1	indv_1	7416	leaves	male	rddm
_scaffold_1_001804.1	indv_1	96	leaves	male	rddm
_scaffold_1_001808.1	indv_1	168	leaves	male	rddm
_scaffold_1_001810.1	indv_1	2784	leaves	male	rddm
_scaffold_1_001811.1	indv_1	216	leaves	male	rddm
_scaffold_1_001812.1	indv_1	7680	leaves	male	rddm
_scaffold_1_001825.1	indv_1	552	leaves	male	rddm
_scaffold_1_001826.1	indv_1	4800	leaves	male	rddm
_scaffold_1_001831.1	indv_1	546	leaves	male	rddm
_scaffold_1_001832.1	indv_1	1728	leaves	male	rddm
_scaffold_1_002309.1	indv_1	1176	leaves	male	rddm
_scaffold_1_001833.1	indv_1	2976	leaves	male	rddm
_scaffold_1_001834.1	indv_1	614	leaves	male	rddm
_scaffold_1_001835.1	indv_1	4475	leaves	male	rddm
_scaffold_1_002308.1	indv_1	2838	leaves	male	rddm
_scaffold_1_002306.1	indv_1	1464	leaves	male	rddm
_scaffold_1_001839.1	indv_1	216	leaves	male	rddm
_scaffold_1_002301.1	indv_1	48	leaves	male	rddm
_scaffold_1_001843.1	indv_1	1680	leaves	male	rddm
_scaffold_1_001844.1	indv_1	1947	leaves	male	rddm
_scaffold_1_002300.1	indv_1	528	leaves	male	rddm
_scaffold_1_001845.1	indv_1	6792	leaves	male	rddm
_scaffold_1_001848.1	indv_1	432	leaves	male	rddm
_scaffold_1_001849.1	indv_1	1392	leaves	male	rddm
_scaffold_1_001850.1	indv_1	3024	leaves	male	rddm
_scaffold_1_001851.1	indv_1	2622	leaves	male	rddm
_scaffold_1_002281.1	indv_1	3168	leaves	male	rddm
_scaffold_1_002280.1	indv_1	5952	leaves	male	rddm
_scaffold_1_002274.1	indv_1	2136	leaves	male	rddm
_scaffold_1_001853.1	indv_1	2928	leaves	male	rddm
_scaffold_1_001854.1	indv_1	7008	leaves	male	rddm
_scaffold_1_002271.1	indv_1	368	leaves	male	rddm
_scaffold_1_002270.1	indv_1	1464	leaves	male	rddm
_scaffold_1_001855.1	indv_1	360	leaves	male	rddm
_scaffold_1_002268.1	indv_1	720	leaves	male	rddm
_scaffold_1_002267.1	indv_1	336	leaves	male	rddm
_scaffold_1_002266.1	indv_1	2736	leaves	male	rddm
_scaffold_1_002265.1	indv_1	2640	leaves	male	rddm
_scaffold_1_001857.1	indv_1	312	leaves	male	rddm
_scaffold_1_001858.1	indv_1	400	leaves	male	rddm
_scaffold_1_001859.1	indv_1	336	leaves	male	rddm
_scaffold_1_002260.1	indv_1	2328	leaves	male	rddm
_scaffold_1_001860.1	indv_1	3480	leaves	male	rddm
_scaffold_1_001870.1	indv_1	504	leaves	male	rddm
_scaffold_1_001874.1	indv_1	288	leaves	male	rddm
_scaffold_1_001878.1	indv_1	744	leaves	male	rddm
_scaffold_1_002252.1	indv_1	144	leaves	male	rddm
_scaffold_1_001880.1	indv_1	288	leaves	male	rddm
_scaffold_1_001881.1	indv_1	2808	leaves	male	rddm
_scaffold_1_001888.1	indv_1	816	leaves	male	rddm
_scaffold_1_001890.1	indv_1	2280	leaves	male	rddm
_scaffold_1_002250.1	indv_1	1272	leaves	male	rddm
_scaffold_1_002245.1	indv_1	264	leaves	male	rddm
_scaffold_1_002244.1	indv_1	1944	leaves	male	rddm
_scaffold_1_002243.1	indv_1	3768	leaves	male	rddm
_scaffold_1_002242.1	indv_1	1992	leaves	male	rddm
_scaffold_1_001901.1	indv_1	0	leaves	male	rddm
_scaffold_1_001904.1	indv_1	2520	leaves	male	rddm
_scaffold_1_001913.1	indv_1	2352	leaves	male	rddm
_scaffold_1_002223.1	indv_1	2232	leaves	male	rddm
_scaffold_1_001917.1	indv_1	1296	leaves	male	rddm
_scaffold_1_002220.1	indv_1	96	leaves	male	rddm
_scaffold_1_001919.1	indv_1	6360	leaves	male	rddm
_scaffold_1_001920.1	indv_1	264	leaves	male	rddm
_scaffold_1_002197.1	indv_1	792	leaves	male	rddm
_scaffold_1_002194.1	indv_1	816	leaves	male	rddm
_scaffold_1_002193.1	indv_1	3624	leaves	male	rddm
_scaffold_1_001935.1	indv_1	336	leaves	male	rddm
_scaffold_1_001936.1	indv_1	624	leaves	male	rddm
_scaffold_1_001939.1	indv_1	360	leaves	male	rddm
_scaffold_1_002191.1	indv_1	3120	leaves	male	rddm
_scaffold_1_002190.1	indv_1	168	leaves	male	rddm
_scaffold_1_002189.1	indv_1	480	leaves	male	rddm
_scaffold_1_002188.1	indv_1	4536	leaves	male	rddm
_scaffold_1_002185.1	indv_1	216	leaves	male	rddm
_scaffold_1_002180.1	indv_1	96	leaves	male	rddm
_scaffold_1_001955.1	indv_1	192	leaves	male	rddm
_scaffold_1_002175.1	indv_1	456	leaves	male	rddm
_scaffold_1_001957.1	indv_1	504	leaves	male	rddm
_scaffold_1_001968.1	indv_1	456	leaves	male	rddm
_scaffold_1_002172.1_1	indv_1	48	leaves	male	rddm
_scaffold_1_001971.1	indv_1	528	leaves	male	rddm
_scaffold_1_002165.1	indv_1	4128	leaves	male	rddm
_scaffold_1_002164.1	indv_1	4536	leaves	male	rddm
_scaffold_1_002163.1	indv_1	576	leaves	male	rddm
_scaffold_1_002162.1	indv_1	240	leaves	male	rddm
_scaffold_1_001972.1	indv_1	240	leaves	male	rddm
_scaffold_1_001975.1	indv_1	120	leaves	male	rddm
_scaffold_1_001981.1	indv_1	696	leaves	male	rddm
_scaffold_1_002156.1	indv_1	5208	leaves	male	rddm
_scaffold_1_001982.1	indv_1	5830	leaves	male	rddm
_scaffold_1_001985.1	indv_1	648	leaves	male	rddm
_scaffold_1_001992.1	indv_1	2256	leaves	male	rddm
_scaffold_1_002153.1	indv_1	864	leaves	male	rddm
_scaffold_1_001995.1	indv_1	3240	leaves	male	rddm
_scaffold_1_002003.1	indv_1	336	leaves	male	rddm
_scaffold_1_002005.1	indv_1	456	leaves	male	rddm
_scaffold_1_002010.1	indv_1	1315	leaves	male	rddm
_scaffold_1_002146.1	indv_1	1152	leaves	male	rddm
_scaffold_1_002144.1	indv_1	48	leaves	male	rddm
_scaffold_1_002143.1	indv_1	480	leaves	male	rddm
_scaffold_1_002142.1	indv_1	10656	leaves	male	rddm
_scaffold_1_002012.1	indv_1	11928	leaves	male	rddm
_scaffold_1_002140.1	indv_1	4704	leaves	male	rddm
_scaffold_1_002139.1	indv_1	408	leaves	male	rddm
_scaffold_1_002137.1	indv_1	2808	leaves	male	rddm
_scaffold_1_002016.1	indv_1	2616	leaves	male	rddm
_scaffold_1_002135.1	indv_1	336	leaves	male	rddm
_scaffold_1_002132.1	indv_1	192	leaves	male	rddm
_scaffold_1_002020.1	indv_1	2520	leaves	male	rddm
_scaffold_1_002128.1	indv_1	10344	leaves	male	rddm
_scaffold_1_002022.1	indv_1	1416	leaves	male	rddm
_scaffold_1_002125.1	indv_1	24	leaves	male	rddm
_scaffold_1_002124.1	indv_1	0	leaves	male	rddm
_scaffold_1_002025.1	indv_1	912	leaves	male	rddm
_scaffold_1_002027.1	indv_1	2760	leaves	male	rddm
_scaffold_1_002028.1	indv_1	4080	leaves	male	rddm
_scaffold_1_002029.1	indv_1	4656	leaves	male	rddm
_scaffold_1_002118.1	indv_1	1224	leaves	male	rddm
_scaffold_1_002030.1	indv_1	48	leaves	male	rddm
_scaffold_1_002113.1	indv_1	192	leaves	male	rddm
_scaffold_1_002033.1	indv_1	3216	leaves	male	rddm
_scaffold_1_002034.1	indv_1	2140	leaves	male	rddm
_scaffold_1_002111.1	indv_1	11328	leaves	male	rddm
_scaffold_1_002110.1	indv_1	4968	leaves	male	rddm
_scaffold_1_002035.1	indv_1	2616	leaves	male	rddm
_scaffold_1_002108.1	indv_1	24	leaves	male	rddm
_scaffold_1_002100.1	indv_1	3888	leaves	male	rddm
_scaffold_1_002090.1	indv_1	1488	leaves	male	rddm
_scaffold_1_002087.1	indv_1	7728	leaves	male	rddm
_scaffold_1_002084.1	indv_1	144	leaves	male	rddm
_scaffold_1_002083.1	indv_1	24	leaves	male	rddm
_scaffold_1_002082.1	indv_1	408	leaves	male	rddm
_scaffold_1_002075.1	indv_1	4128	leaves	male	rddm
_scaffold_1_002045.1	indv_1	960	leaves	male	rddm
_scaffold_1_002069.1	indv_1	48	leaves	male	rddm
_scaffold_1_002047.1	indv_1	768	leaves	male	rddm
_scaffold_1_002068.1	indv_1	696	leaves	male	rddm
_scaffold_1_002067.1	indv_1	168	leaves	male	rddm
_scaffold_13_000001.1	indv_1	1099	leaves	male	rddm
_scaffold_13_000002.1	indv_1	3888	leaves	male	rddm
_scaffold_13_000007.1	indv_1	2688	leaves	male	rddm
_scaffold_13_000461.1	indv_1	120	leaves	male	rddm
_scaffold_13_000012.1	indv_1	3336	leaves	male	rddm
_scaffold_13_000460.1	indv_1	3552	leaves	male	rddm
_scaffold_13_000459.1	indv_1	1968	leaves	male	rddm
_scaffold_13_000458.1	indv_1	1368	leaves	male	rddm
_scaffold_13_000457.1	indv_1	960	leaves	male	rddm
_scaffold_13_000013.1	indv_1	3744	leaves	male	rddm
_scaffold_13_000451.1	indv_1	1560	leaves	male	rddm
_scaffold_13_000014.1	indv_1	2256	leaves	male	rddm
_scaffold_13_000450.1	indv_1	3912	leaves	male	rddm
_scaffold_13_000449.1	indv_1	3984	leaves	male	rddm
_scaffold_13_000026.1	indv_1	864	leaves	male	rddm
_scaffold_13_000440.1	indv_1	96	leaves	male	rddm
_scaffold_13_000438.1	indv_1	216	leaves	male	rddm
_scaffold_13_000437.1	indv_1	24	leaves	male	rddm
_scaffold_13_000433.1	indv_1	840	leaves	male	rddm
_scaffold_13_000425.1	indv_1	1272	leaves	male	rddm
_scaffold_13_000035.1	indv_1	264	leaves	male	rddm
_scaffold_13_000037.1	indv_1	744	leaves	male	rddm
_scaffold_13_000038.1	indv_1	480	leaves	male	rddm
_scaffold_13_000039.1	indv_1	2472	leaves	male	rddm
_scaffold_13_000423.1	indv_1	7858	leaves	male	rddm
_scaffold_13_000422.1	indv_1	96	leaves	male	rddm
_scaffold_13_000419.1	indv_1	864	leaves	male	rddm
_scaffold_13_000044.1	indv_1	48	leaves	male	rddm
_scaffold_13_000045.1	indv_1	240	leaves	male	rddm
_scaffold_13_000046.1	indv_1	240	leaves	male	rddm
_scaffold_13_000417.1	indv_1	4200	leaves	male	rddm
_scaffold_13_000414.1	indv_1	768	leaves	male	rddm
_scaffold_13_000053.1	indv_1	960	leaves	male	rddm
_scaffold_13_000411.1	indv_1	2592	leaves	male	rddm
_scaffold_13_000410.1	indv_1	96	leaves	male	rddm
_scaffold_13_000408.1	indv_1	4680	leaves	male	rddm
_scaffold_13_000056.1	indv_1	1056	leaves	male	rddm
_scaffold_13_000407.1	indv_1	2880	leaves	male	rddm
_scaffold_13_000406.1	indv_1	3216	leaves	male	rddm
_scaffold_13_000405.1	indv_1	264	leaves	male	rddm
_scaffold_13_000402.1	indv_1	1728	leaves	male	rddm
_scaffold_13_000401.1	indv_1	1644	leaves	male	rddm
_scaffold_13_000400.1	indv_1	2160	leaves	male	rddm
_scaffold_13_000394.1	indv_1	552	leaves	male	rddm
_scaffold_13_000062.1	indv_1	6297	leaves	male	rddm
_scaffold_13_000064.1	indv_1	48	leaves	male	rddm
_scaffold_13_000065.1	indv_1	2832	leaves	male	rddm
_scaffold_13_000067.1	indv_1	0	leaves	male	rddm
_scaffold_13_000068.1	indv_1	24	leaves	male	rddm
_scaffold_13_000069.1	indv_1	2976	leaves	male	rddm
_scaffold_13_000070.1	indv_1	3072	leaves	male	rddm
_scaffold_13_000071.1	indv_1	984	leaves	male	rddm
_scaffold_13_000381.1	indv_1	1656	leaves	male	rddm
_scaffold_13_000082.1	indv_1	984	leaves	male	rddm
_scaffold_13_000379.1	indv_1	72	leaves	male	rddm
_scaffold_13_000084.1	indv_1	312	leaves	male	rddm
_scaffold_13_000375.1	indv_1	1152	leaves	male	rddm
_scaffold_13_000367.1	indv_1	264	leaves	male	rddm
_scaffold_13_000364.1	indv_1	96	leaves	male	rddm
_scaffold_13_000089.1	indv_1	144	leaves	male	rddm
_scaffold_13_000092.1	indv_1	48	leaves	male	rddm
_scaffold_13_000093.1	indv_1	1944	leaves	male	rddm
_scaffold_13_000351.1	indv_1	216	leaves	male	rddm
_scaffold_13_000350.1	indv_1	4512	leaves	male	rddm
_scaffold_13_000095.1	indv_1	579	leaves	male	rddm
_scaffold_13_000347.1	indv_1	3528	leaves	male	rddm
_scaffold_13_000346.1	indv_1	1920	leaves	male	rddm
_scaffold_13_000345.1	indv_1	1296	leaves	male	rddm
_scaffold_13_000104.1	indv_1	1512	leaves	male	rddm
_scaffold_13_000120.1	indv_1	312	leaves	male	rddm
_scaffold_13_000288.1	indv_1	1704	leaves	male	rddm
_scaffold_13_000287.1	indv_1	7344	leaves	male	rddm
_scaffold_13_000121.1	indv_1	1560	leaves	male	rddm
_scaffold_13_000122.1	indv_1	1152	leaves	male	rddm
_scaffold_13_000124.1	indv_1	264	leaves	male	rddm
_scaffold_13_000126.1	indv_1	672	leaves	male	rddm
_scaffold_13_000130.1	indv_1	600	leaves	male	rddm
_scaffold_13_000285.1	indv_1	600	leaves	male	rddm
_chr6_002689.1	indv_1	192	leaves	male	rddm
_scaffold_13_000131.1	indv_1	4296	leaves	male	rddm
_scaffold_13_000283.1	indv_1	144	leaves	male	rddm
_scaffold_13_000282.1	indv_1	464	leaves	male	rddm
_scaffold_13_000133.1	indv_1	1992	leaves	male	rddm
_scaffold_13_000136.1	indv_1	5472	leaves	male	rddm
_scaffold_13_000143.1	indv_1	260	leaves	male	rddm
_scaffold_13_000278.1	indv_1	2304	leaves	male	rddm
_scaffold_13_000277.1	indv_1	480	leaves	male	rddm
_scaffold_13_000154.1	indv_1	504	leaves	male	rddm
_scaffold_13_000267.1	indv_1	4632	leaves	male	rddm
_scaffold_13_000266.1	indv_1	1224	leaves	male	rddm
_scaffold_13_000265.1	indv_1	4056	leaves	male	rddm
_scaffold_13_000264.1	indv_1	3072	leaves	male	rddm
_scaffold_13_000157.1	indv_1	1560	leaves	male	rddm
_scaffold_13_000261.1	indv_1	576	leaves	male	rddm
_scaffold_13_000260.1	indv_1	2313	leaves	male	rddm
_scaffold_13_000256.1	indv_1	1464	leaves	male	rddm
_scaffold_13_000255.1	indv_1	5100	leaves	male	rddm
_scaffold_13_000162.1	indv_1	96	leaves	male	rddm
_scaffold_13_000163.1	indv_1	120	leaves	male	rddm
_scaffold_13_000254.1	indv_1	768	leaves	male	rddm
_scaffold_13_000252.1	indv_1	72	leaves	male	rddm
_scaffold_13_000250.1	indv_1	1656	leaves	male	rddm
_scaffold_13_000172.1	indv_1	5712	leaves	male	rddm
