gene	individual	counts	tissue	sex	path
_scaffold_12_000276.1	indv_1	1128	flowers	male	rddm
_scaffold_1_004171.1	indv_1	48	flowers	male	rddm
_scaffold_1_004169.1	indv_1	0	flowers	male	rddm
_scaffold_1_000006.1	indv_1	3120	flowers	male	rddm
_scaffold_1_004167.1	indv_1	1128	flowers	male	rddm
_scaffold_1_000011.1	indv_1	3120	flowers	male	rddm
_scaffold_1_000022.1	indv_1	96	flowers	male	rddm
_scaffold_1_000023.1	indv_1	1104	flowers	male	rddm
_scaffold_1_000024.1	indv_1	2232	flowers	male	rddm
_scaffold_1_004162.1	indv_1	1704	flowers	male	rddm
_scaffold_1_000026.1	indv_1	672	flowers	male	rddm
_scaffold_1_004158.1	indv_1	168	flowers	male	rddm
_scaffold_1_004153.1	indv_1	1512	flowers	male	rddm
_scaffold_1_000027.1	indv_1	2592	flowers	male	rddm
_scaffold_1_004141.1	indv_1	2112	flowers	male	rddm
_scaffold_1_004140.1	indv_1	96	flowers	male	rddm
_scaffold_1_000034.1	indv_1	192	flowers	male	rddm
_scaffold_1_000043.1	indv_1	600	flowers	male	rddm
_scaffold_1_000050.1	indv_1	2784	flowers	male	rddm
_scaffold_1_000054.1	indv_1	1392	flowers	male	rddm
_scaffold_1_000056.1	indv_1	384	flowers	male	rddm
_scaffold_1_000060.1	indv_1	24	flowers	male	rddm
_scaffold_1_004108.1	indv_1	168	flowers	male	rddm
_scaffold_1_004105.1	indv_1	0	flowers	male	rddm
_scaffold_1_000065.1	indv_1	1272	flowers	male	rddm
_scaffold_1_000066.1	indv_1	456	flowers	male	rddm
_scaffold_1_004102.1	indv_1	456	flowers	male	rddm
_scaffold_1_000071.1	indv_1	120	flowers	male	rddm
_scaffold_1_000078.1	indv_1	0	flowers	male	rddm
_scaffold_1_004095.1	indv_1	552	flowers	male	rddm
_scaffold_1_000079.1	indv_1	96	flowers	male	rddm
_scaffold_1_000087.1	indv_1	4200	flowers	male	rddm
_scaffold_1_000089.1	indv_1	1248	flowers	male	rddm
_scaffold_1_000091.1	indv_1	3120	flowers	male	rddm
_scaffold_1_004089.1	indv_1	768	flowers	male	rddm
_scaffold_1_004088.1	indv_1	72	flowers	male	rddm
_scaffold_1_000092.1	indv_1	3328	flowers	male	rddm
_scaffold_1_000094.1	indv_1	120	flowers	male	rddm
_scaffold_1_000095.1	indv_1	683	flowers	male	rddm
_scaffold_1_004087.1	indv_1	1032	flowers	male	rddm
_scaffold_1_002220.1_1	indv_1	24	flowers	male	rddm
_scaffold_1_000096.1	indv_1	1272	flowers	male	rddm
_scaffold_1_004084.1	indv_1	2136	flowers	male	rddm
_scaffold_1_004082.1	indv_1	3120	flowers	male	rddm
_scaffold_1_004079.1	indv_1	1152	flowers	male	rddm
_scaffold_1_004078.1	indv_1	1416	flowers	male	rddm
_scaffold_1_004076.1	indv_1	456	flowers	male	rddm
_scaffold_1_004075.1	indv_1	568	flowers	male	rddm
_scaffold_1_000100.1	indv_1	504	flowers	male	rddm
_scaffold_1_004073.1	indv_1	408	flowers	male	rddm
_scaffold_1_000103.1	indv_1	1334	flowers	male	rddm
_scaffold_1_000104.1	indv_1	864	flowers	male	rddm
_scaffold_1_000106.1	indv_1	648	flowers	male	rddm
_scaffold_1_000111.1	indv_1	120	flowers	male	rddm
_scaffold_1_000112.1	indv_1	312	flowers	male	rddm
_scaffold_1_004062.1	indv_1	0	flowers	male	rddm
_scaffold_1_004060.1	indv_1	24	flowers	male	rddm
_scaffold_1_004059.1	indv_1	24	flowers	male	rddm
_scaffold_1_004058.1	indv_1	96	flowers	male	rddm
_scaffold_1_004057.1	indv_1	0	flowers	male	rddm
_scaffold_1_004053.1	indv_1	192	flowers	male	rddm
_scaffold_1_000126.1	indv_1	192	flowers	male	rddm
_scaffold_1_004051.1	indv_1	216	flowers	male	rddm
_scaffold_1_004050.1	indv_1	264	flowers	male	rddm
_scaffold_1_004049.1	indv_1	672	flowers	male	rddm
_scaffold_1_000128.1	indv_1	528	flowers	male	rddm
_scaffold_1_004045.1	indv_1	784	flowers	male	rddm
_scaffold_1_000130.1	indv_1	1512	flowers	male	rddm
_scaffold_1_004037.1	indv_1	504	flowers	male	rddm
_scaffold_1_000135.1	indv_1	456	flowers	male	rddm
_scaffold_1_000137.1	indv_1	720	flowers	male	rddm
_scaffold_1_004027.1	indv_1	96	flowers	male	rddm
_scaffold_1_000140.1	indv_1	216	flowers	male	rddm
_scaffold_1_004018.1	indv_1	2555	flowers	male	rddm
